	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.1771053227191196	0.1636110421740631	0.1756761304077416	0.1998767147981856	0.1378275945279071	0.08394118293950564	0.292094556606638	1.228962027552319	1.132324738321055	1.21353300403676	1.185017400060338	1.12381598580985	1.049878269285704	1.086314614231562	0.9750209801171944	1.217819390339591	1.080986140202244	0.1799995219832391	1.086920795362689	1.044257188992787	1.13279128184676	1.10473023480643	1.152091263511299	0.8195152220022813	1.090838842147925	1.018262616424539	1.140406106046161	1.153623105274177	1.142791140841445	0.8767101712330027
L1S140	0.1771053227191196	0	0.1891705743259558	0.187271203706521	0.2198744898744365	0.2240022552020793	0.1356854692896357	0.2928956317637396	1.283650130456708	1.186073752264963	1.263951052640945	1.245203122743	1.172443593517626	1.1020700332399	1.139017448270214	1.023468867937533	1.271088787916011	1.136323329225737	0.09749936931793129	1.140471985543051	1.093196401803432	1.184899237595622	1.154159330003171	1.20457206139179	0.8699956298386805	1.140242953742261	1.068811862188883	1.189678042502626	1.198184704478364	1.192756993369103	0.9255338803935856
L1S208	0.1636110421740631	0.1891705743259558	0	0.07488230002169782	0.1650106556237304	0.1431197098481735	0.1527931242908868	0.3180298982330313	1.229987703428475	1.137143368889367	1.214642674245481	1.19180861384256	1.124627684569961	1.050114712829983	1.081403204497033	0.9738969746569484	1.217655738633423	1.086544389732039	0.1825151996308131	1.08878214044926	1.046443352569332	1.136110911345787	1.10605181647304	1.151843332226875	0.8205166420310286	1.091618088243377	1.019441355743196	1.141317917798756	1.155538031477284	1.143656514077332	0.8810585646926944
L1S257	0.1756761304077416	0.187271203706521	0.07488230002169782	0	0.1691552613055238	0.1613521603337051	0.1559168033514588	0.3128635717661722	1.232194251245892	1.140149712008108	1.214904525958041	1.191473752063833	1.128237844033147	1.053715239963763	1.083657659492671	0.9787863965740129	1.218129363174569	1.086880702863731	0.1744641949846234	1.091549396086117	1.048748192599056	1.138021068643001	1.109586744529928	1.154113995008885	0.8231725623570392	1.095285606005535	1.022116656878474	1.144879666608543	1.156675666243325	1.147131636542257	0.8793188476227821
L1S281	0.1998767147981856	0.2198744898744365	0.1650106556237304	0.1691552613055238	0	0.1683071325354283	0.1955444489240016	0.4324580616645813	1.248891642049962	1.156547718075148	1.24125395190696	1.216925225869273	1.14579146236944	1.069701293749713	1.100094618850824	0.997568543091614	1.235746045266124	1.1043871975733	0.1968718424685111	1.107885246403705	1.065935759823338	1.155147224081489	1.126870333851328	1.175785795770445	0.8459297182544834	1.111398598109335	1.042329180797766	1.166719312249265	1.180663391984793	1.165129733285583	0.9084007016476821
L1S57	0.1378275945279071	0.2240022552020793	0.1431197098481735	0.1613521603337051	0.1683071325354283	0	0.1451494553753093	0.3125593574087968	1.187940076284359	1.102363320381924	1.174729706765121	1.149579329722469	1.082091986868726	1.007526652229827	1.044104948027662	0.9370906357106561	1.172068389394935	1.052084830495214	0.2231361822971626	1.049590023731122	1.004515406328248	1.092475694473074	1.066008949731222	1.11506884124892	0.7822478589831744	1.050082838008245	0.9811725726953417	1.102862050926189	1.116672297423863	1.101075162544506	0.8446941021029787
L1S76	0.08394118293950564	0.1356854692896357	0.1527931242908868	0.1559168033514588	0.1955444489240016	0.1451494553753093	0	0.2827126797763025	1.241303906200834	1.149698637207001	1.221524211045405	1.199651748272669	1.136882312879456	1.062864890845193	1.091407387171107	0.9923438055782131	1.226652503647393	1.097361021472665	0.127018725519182	1.098445593369438	1.057358691213048	1.147730978940018	1.120863663272372	1.163508003605427	0.8373209473309071	1.105525715600635	1.036327503293231	1.15377085645339	1.164592978651523	1.155492731622882	0.8934440401880615
L1S8	0.292094556606638	0.2928956317637396	0.3180298982330313	0.3128635717661722	0.4324580616645813	0.3125593574087968	0.2827126797763025	0	1.13837089802424	1.0476289560056	1.111817368302858	1.075903684336068	1.023636987090132	0.9785433366038028	0.9931444792639506	0.89578760252388	1.107428271175942	1.01613644111494	0.3242990895071175	0.9920346881503672	0.9520719792489614	1.05568241778486	1.008318693454539	1.059842443413783	0.7268204628943711	0.9918261816507199	0.9225866070341817	1.039802690430247	1.046133470710555	1.041570855583292	0.778707056421467
L2S155	1.228962027552319	1.283650130456708	1.229987703428475	1.232194251245892	1.248891642049962	1.187940076284359	1.241303906200834	1.13837089802424	0	0.4653267586207691	0.6105763114999706	0.5564983926951685	0.8049103036137257	0.5057421697208085	0.4618036009686747	0.7497371345919098	0.2547388232617284	0.5041455502074492	1.294900825182452	0.5206723560831156	0.6031465658353307	0.4413885433025654	0.785360930415266	0.8721740356018092	1.061298672523575	0.8250209509972857	0.8843193755486041	0.8464819625817336	0.8989846538861698	0.8108972902405062	1.024295660716427
L2S175	1.132324738321055	1.186073752264963	1.137143368889367	1.140149712008108	1.156547718075148	1.102363320381924	1.149698637207001	1.0476289560056	0.4653267586207691	0	0.849639411810687	0.7485078475182594	0.7359990309744878	0.3324507638541874	0.3702090436458357	0.6263777086247394	0.4641619070897478	0.1660146066673999	1.20298084979634	0.353284081609994	0.440603683041018	0.4839783104264926	0.7464968160306181	0.7203773181044881	0.9195410100914956	0.6573810452234724	0.8197263629670455	0.7976111568762253	0.8865825076743902	0.7610592885802766	0.9946607601463995
