#SampleID	faith_pd
L1S105	8.821914800056902
L1S140	8.99943774062524
L1S208	9.921755776777445
L1S257	9.985299703381315
L1S281	8.536248185706881
L1S57	8.622898437518984
L1S76	7.61240481774314
L1S8	6.404988991939376
L2S155	36.69073360324228
L2S175	28.59418307211843
L2S204	34.97544825145849
L2S222	38.74169087694406
L2S240	10.38615032505402
L2S309	32.08933972443128
L2S357	15.83588870585049
L2S382	18.9317953783376
L3S294	23.24146574751057
L3S313	11.46586014910326
L3S378	6.265841950419826
L4S112	53.54889397333989
L4S137	17.95360929701462
L4S63	73.38376199237473
L5S104	8.881109742032322
L5S155	5.978629492076493
L5S174	8.466356526789923
L5S203	8.387313444188976
L5S222	8.445154873362412
L5S240	7.025232654878096
L6S20	9.579048493076584
L6S68	9.265622575178213
L6S93	9.217028822372072
